qct_id,official_qct_050,E100,E050,Q100,Q050
010730024000,1,1,1,1,1
010730027000,1,1,1,1,1
010730029000,1,1,1,1,1
010730030010,0,0,0,0,0
010730030020,1,1,1,1,1
010730031000,1,1,1,1,1
010730032000,1,1,1,1,1
010730033000,1,1,1,1,1
010730034000,1,1,1,1,1
010730035000,1,1,1,1,1
010730036000,0,0,0,0,0
010730037000,1,1,1,1,1
010730038020,0,0,0,0,0
010730038030,1,1,1,1,1
010730039000,1,1,1,1,1
010730040000,1,1,1,1,1
010730042000,1,1,1,1,1
010730045000,1,1,1,1,1
010730047010,0,0,0,0,0
010730047020,0,0,0,0,0
010730048000,0,0,0,0,0
010730049010,0,0,0,0,0
010730049020,1,1,1,1,1
010730050000,0,0,0,0,0
010730051010,1,1,1,1,1
010730051030,0,0,0,0,0
010730051040,1,1,1,1,1
010730052000,1,1,1,1,1
010730053020,0,0,0,0,0
010730055000,1,1,1,1,1
010730056000,0,0,0,0,0
010730057010,1,1,1,1,1
010730057020,1,1,1,1,1
010730058000,1,1,1,1,1
010730059030,0,0,0,0,0
010730059050,0,0,0,0,0
010730059070,0,0,0,0,0
010730059080,1,1,1,1,1
010730059090,0,0,0,0,0
010730059100,0,0,0,0,0
010730100010,0,0,0,0,0
010730100020,0,0,0,0,0
010730101000,1,1,1,1,1
010730102000,1,1,1,1,1
010730103010,1,1,1,1,1
010730103020,1,1,1,1,1
010730104010,1,1,1,1,1
010730104020,0,0,0,0,0
010730105000,1,1,1,1,1
010730106020,1,1,1,1,1
010730106030,0,0,0,0,0
010730107010,0,0,0,0,0
010730107020,0,0,0,0,0
010730107030,0,0,0,0,0
010730107040,0,0,0,0,0
010730107050,0,0,0,0,0
010730107060,0,0,0,0,0
010730108010,0,0,0,0,0
010730108020,0,0,0,0,0
010730108030,0,0,0,0,0
010730108040,0,0,0,0,0
010730108050,0,0,0,0,0
010730109000,1,1,1,1,1
010730110010,0,0,0,0,0
010730110020,1,1,1,1,1
010730111040,0,0,0,0,0
010730111070,0,0,0,0,0
010730111080,0,0,0,0,0
010730111090,0,0,0,0,0
010730111100,0,0,0,0,0
